PROCESSOS DE FABRICAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;
ORCAMENTO;DESENHO;CODIGO;PV;CORTE - SERRA;CORTE-PLASMA;CORTE-LASER;CORTE-GUILHOTINA;TORNO CONVENCIONAL;TORNO CNC;FRESADORA CONVENCIONAL;CENTRO DE USINAGEM;FRESADORA;PRENSA (AMASSAMENTO);CALANDRA;DOBRA;ROSQUEADEIRA;FURADEIRA DE BANCADA;SOLDAGEM;ACABAMENTO;JATEAMENTO;PINTURA;MONTAGEM;;TOTAL;(min)
1529;HV400252-02;;3048;;;;;;;;;;;;;;;;;;;;;;
514;10007618084;15474348;;3;;;;;;30;;;5;;;;;;15;;;;;53;min
514;10008531338;15981891;;5;;;;;;30;;;5;;;;;;15;;;;;55;min
514;10006000456;14577949;;5;;;;;;40;;;5;;;;;15;15;;;;;80;min
514;10006001743;14577954;;5;;;;;;40;;;5;;;;;15;15;;;;;80;min
514;10012026521;17865788;;3;;;;15;;40;;;5;;;;;;20;;;;;83;min
514;10012030032;17867985;;3;;;;15;;40;;;5;;;;;;20;;;;;83;min
514;10007749091;15545079;;10;;;;;;;30;;;;;5;;20;10;;;;;75;min
514;10007749151;15545082;;10;;;;;;;30;;;;;5;;20;10;;;;;75;min
650;4525950020-002;HVHV311697-01;-;15;;;;;;;60;;;15;;;;60;30;;;;;180;min
648;HV311601-01;HVHV311601-01;-;15;;;;;;;60;;;15;;;;60;30;;;;;180;min
648;HV311601-02;HVHV311601-02;-;10;;;;;;;15;;;;;;;15;10;;;;;50;min
648;HV311601-03;HVHV311601-03;-;5;;;;;;;10;;;;;;;;5;;;;;20;min
;;;;;;;;;;;;;;;;;;;;;;;;;min
;;;;;;;;;;;;;;;;;;;;;;;;;min
;;;;;;;;;;;;;;;;;;;;;;;;;min
;;;;;;;;;;;;;;;;;;;;;;;;;min
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
